id,cod,start,yearstart,fin,yearfin,dur_months,words,ctte
74,1998/0315(COD),11/11/1998,1998,11/03/2002,2002,40,2913,9
75,1998/0318(COD),24/11/1998,1998,22/06/2000,2000,19,1497,9
76,1998/0319(COD),24/11/1998,1998,11/03/2002,2002,40,3038,9
77,1998/0321(COD),24/11/1998,1998,13/12/1999,1999,13,2106,9
78,1998/0323(COD),07/01/1999,1999,22/05/2001,2001,28,5673,10
79,1998/0324(COD),07/01/1999,1999,22/05/2001,2001,28,583,15
80,1998/0325(COD),18/11/1998,1998,08/06/2000,2000,19,6484,24
81,1998/0327(COD),27/11/1998,1998,27/06/2001,2001,31,584,9
82,1998/0333(COD),01/12/1998,1998,16/11/2000,2000,23,2047,10
83,1998/0336(COD),09/12/1998,1998,17/07/2000,2000,19,4137,10
84,1998/0350(COD),16/12/1998,1998,20/12/2000,2000,24,1368,10
85,1998/0358(COD),16/12/1998,1998,04/04/2001,2001,28,4476,10
86,1998/0360(COD),21/12/1998,1998,30/04/2004,2004,64,14388,9
87,1999/0007(COD),10/02/1999,1999,26/06/2000,2000,16,1317,24
88,1999/0010(COD),27/01/1999,1999,25/11/2002,2002,46,1509,10
89,1999/0014(COD),04/02/1999,1999,22/12/1999,1999,10,782,11
90,1999/0015(COD),03/02/1999,1999,07/11/2000,2000,21,2784,4
91,1999/0020(COD),28/01/1999,1999,07/11/2000,2000,21,2446,4
92,1999/0022(COD),27/01/1999,1999,18/12/2000,2000,23,1031,13
93,1999/0051(COD),05/03/1999,1999,23/11/1999,1999,8,317,15
94,1999/0067(COD),09/06/1999,1999,23/10/2001,2001,28,2833,10
95,1999/0068(COD),09/06/1999,1999,12/02/2002,2002,32,4045,10
96,1999/0070(COD),12/03/1999,1999,29/06/2000,2000,15,4298,4
97,1999/0083(COD),17/05/1999,1999,10/10/2000,2000,17,2845,13
98,1999/0085(COD),08/04/1999,1999,30/04/2004,2004,60,5923,24
99,1999/0087(COD),17/05/1999,1999,10/10/2000,2000,17,1727,13
100,1999/0090(COD),14/04/1999,1999,20/03/2000,2000,11,,24
101,1999/0117(COD),25/06/1999,1999,18/03/2002,2002,33,3377,24
102,1999/0127(COD),16/06/1999,1999,18/09/2000,2000,15,7127,11
103,1999/0134(COD),28/06/1999,1999,06/11/2001,2001,28,25000,24
104,1999/0137(COD),08/07/1999,1999,28/09/2000,2000,14,994,15
105,1999/0152(COD),14/07/1999,1999,04/12/2001,2001,29,8190,19
106,1999/0153(COD),14/09/1999,1999,18/12/2000,2000,15,8565,19
107,1999/0158(COD),22/07/1999,1999,12/02/2001,2001,19,1168,10
108,1999/0159(COD),22/07/1999,1999,27/06/2001,2001,23,849,10
109,1999/0160(COD),22/07/1999,1999,27/06/2001,2001,23,969,10
110,1999/0180(COD),08/09/1999,1999,06/11/2001,2001,26,16727,24
111,1999/0188(COD),14/09/1999,1999,18/09/2000,2000,12,4501,24
112,1999/0194(COD),15/09/1999,1999,17/07/2000,2000,10,297,4
113,1999/0200(COD),18/10/1999,1999,07/11/2000,2000,13,1254,8
114,1999/0204(COD),13/10/1999,1999,17/07/2000,2000,9,6781,10
115,1999/0208(COD),13/10/1999,1999,17/07/2000,2000,9,6004,17
116,1999/0217(COD),25/10/1999,1999,16/05/2000,2000,7,2022,15
117,1999/0233(COD),22/11/1999,1999,27/06/2001,2001,19,1788,10
118,1999/0238(COD),10/11/1999,1999,14/12/2005,2005,73,2466,10
119,1999/0244(COD),16/11/1999,1999,05/06/2001,2001,19,6746,10
120,1999/0252(COD),25/11/1999,1999,19/03/2001,2001,16,6377,13
121,1999/0259(COD),17/12/1999,1999,07/05/2002,2002,29,3666,10
122,1999/0264(COD),10/12/1999,1999,04/04/2001,2001,16,1396,13
123,1999/0269(COD),10/12/1999,1999,19/07/2002,2002,31,1636,10
124,1999/0275(COD),14/12/1999,1999,19/01/2001,2001,13,2737,17
125,2000/0006(COD),06/01/2000,2000,19/06/2001,2001,17,1883,10
126,2000/0014(COD),10/01/2000,2000,07/11/2000,2000,10,1378,8
127,2000/0015(COD),07/01/2000,2000,28/01/2002,2002,24,2369,15
128,2000/0019(COD),10/01/2000,2000,03/12/2001,2001,23,1094,8
129,2000/0020(COD),07/01/2000,2000,16/05/2000,2000,4,820,11
130,2000/0021(COD),21/01/2000,2000,10/07/2001,2001,18,4615,17
131,2000/0022(COD),24/01/2000,2000,12/02/2001,2001,13,2607,17
132,2000/0032(COD),26/01/2000,2000,30/05/2001,2001,16,3573,19
133,2000/0033(COD),15/03/1999,1999,06/11/2001,2001,32,5644,11
134,2000/0034(COD),31/01/2000,2000,04/04/2001,2001,14,1224,4
135,2000/0035(COD),07/02/2000,2000,20/11/2001,2001,21,8990,10
136,2000/0040(COD),14/02/2000,2000,22/01/2001,2001,11,1311,10
137,2000/0043(COD),24/02/2000,2000,27/09/2001,2001,19,2664,24
138,2000/0044(COD),28/02/2000,2000,07/05/2001,2001,14,1982,13
